recipe,reviewer,stars,month
http://example.org/kitchen/recipe-r01,Priya,5,2024-02
http://example.org/kitchen/recipe-r01,Tomas,4,2024-05
http://example.org/kitchen/recipe-r01,Noor,3,2025-01
http://example.org/kitchen/recipe-r02,Noor,5,2024-03
http://example.org/kitchen/recipe-r02,Priya,2,2024-11
http://example.org/kitchen/recipe-r03,Yuki,4,2024-01
http://example.org/kitchen/recipe-r03,Priya,4,2025-06
http://example.org/kitchen/recipe-r04,Tomas,3,2024-07
http://example.org/kitchen/recipe-r04,Kwame,5,2025-02
http://example.org/kitchen/recipe-r05,Priya,5,2024-04
http://example.org/kitchen/recipe-r05,Ines,5,2024-09
http://example.org/kitchen/recipe-r05,Yuki,4,2025-03
http://example.org/kitchen/recipe-r06,Ines,5,2024-06
http://example.org/kitchen/recipe-r06,Noor,4,2024-12
http://example.org/kitchen/recipe-r06,Tomas,5,2025-05
http://example.org/kitchen/recipe-r07,Kwame,2,2024-08
http://example.org/kitchen/recipe-r07,Yuki,3,2025-04
http://example.org/kitchen/recipe-r08,Priya,3,2024-10
http://example.org/kitchen/recipe-r08,Noor,5,2025-07
http://example.org/kitchen/recipe-r08,Ines,4,2025-09
http://example.org/kitchen/recipe-r09,Tomas,5,2024-02
http://example.org/kitchen/recipe-r09,Yuki,5,2025-08
http://example.org/kitchen/recipe-r10,Noor,1,2024-09
http://example.org/kitchen/recipe-r10,Kwame,4,2025-10
http://example.org/kitchen/recipe-r10,Priya,5,2025-11
